BiGG	SEED
MACACI	rxn02276
MACOXO	rxn03400
MAGAH160	rxn34964
MAGAH180	rxn34965
MAGAH1819Z	rxn34967
MALDDH	rxn00160
MALDt2_2pp	rxn08863
EX_mal__D_e	rxn08864
MALDtex	rxn08864
MAL_D_Et	rxn08864
MALEI	rxn00803
MALGLUth	rxn29243
MALICITtm	rxn34509
MALOAAth	rxn09836
MALOAAtm	rxn09836
MALOAAtp	rxn09836
MALS	rxn00330
MALSh	rxn00330
MALSm	rxn00330
MALSp	rxn00330
MALT	rxn00022
MALTe	rxn00022
MALTly	rxn00022
MALTHXabc	rxn08869
MALTHXabcpp	rxn08869
EX_M02447_e	rxn08870
EX_malthx_e	rxn08870
MALTHXtexi	rxn08870
MALTPTabc	rxn08871
MALTPTabcpp	rxn08871
EX_maltpt_e	rxn08873
MALTPTtexi	rxn08873
MALTTRabc	rxn05608
MALTTRabcpp	rxn05608
EX_malttr_e	rxn08876
HMR_8590	rxn08876
MALTTRtexi	rxn08876
MALTTTRabc	rxn08877
MALTTTRabcpp	rxn08877
EX_M02451_e	rxn08878
EX_maltttr_e	rxn08878
MALTTTRt	rxn08878
MALTTTRtexi	rxn08878
MALTabc	rxn05170
MALTabcpp	rxn05170
MALTpts	rxn05607
MALTptspp	rxn05607
MALTt2	rxn09673
MAL_Dt2	rxn05603
EX_mal__L_e	rxn08868
MAL_Ltx	rxn08868
MALt	rxn08868
MALtex	rxn08868
SK_mal__L_c	rxn08868
MAL_na_th	rxn05207
MAL_na_tm	rxn05207
MALt4	rxn05207
MALt5	rxn05207
MALt10	rxn05604
MALt2_2	rxn08865
MALt2_2pp	rxn08865
MALt2_3	rxn08866
MALt2_3pp	rxn08866
MALt2r	rxn05605
MALtpp	rxn05605
MALtm	rxn09739
MANAT1	rxn10764
MANAT2	rxn10732
MANAT3	rxn10763
MANabc	rxn13849
MANabcpp	rxn13849
MANt2	rxn05611
MATm	rxn00126
METAT	rxn00126
MCCC	rxn02889
MCCCrm	rxn02889
MCTC	rxn02889
MCTC_1	rxn02889
MCD	rxn00174
MCDC	rxn00174
MCDm	rxn00174
MCDp	rxn00174
MCITDm	rxn02466
MCLORi	rxn02228
MCMMT	rxn10568
MCS	rxn03910
MECDPS	rxn03910
MCSNAH	rxn01025
MDFDH	rxn10805
MDH	rxn00248
MDHf	rxn00248
MDHh	rxn00248
MDHi2	rxn00248
MDHm	rxn00248
MDHp	rxn00248
MDH2	rxn08900
MDH6	rxn08900
MDH3	rxn08901
MDHC_nadp_hr	rxn00161
ME2	rxn00161
ME2m	rxn00161
ME_x	rxn00161
MDH_nadp_fi	rxn00249
MDH_nadp_hi	rxn00249
MDHy	rxn00249
ME1	rxn00159
ME1m	rxn00159
MECDPDH	rxn10092
MECDPDH2	rxn05293
MEGLYXYLAMH	rxn12033
MEGLYXYLt	rxn34426
MEHLER	rxn40296
MEHLER_1	rxn40296
MELIBt2	rxn05612
MELIBt2pp	rxn05612
MELIBt3ipp	rxn08907
EX_melib_e	rxn08908
MELIB_Et	rxn08908
MELIBtex	rxn08908
EX_meoh_e	rxn10570
MEOHt2	rxn10570
MEOHtex	rxn10570
MEOHtly	rxn10570
